项目,数值,单位/说明
退休目标年限,11,年（距今）
退休后刚性年支出,600000,¥/年（活下去+体面，不含可选消费，脱水后）
当前家庭年总支出,900000,¥/年（含可选消费，用于对照）
寿险保额合计,2000000,¥（关键人/实控人）
子女教育金目标缺口,3000000,¥（现值）
非房贷债务合计,90000,¥（信用卡+消费贷+车贷余额）
房贷剩余本金,1500000,¥
关键人收入替代年数,15,年（至最小子女经济独立）
近12个月大额节点税后合计,3000000,¥（年终奖+递延薪酬+Carry+股权解禁）
其中注入投资或安全底盘金额,2100000,¥（用于计算资本截流率）
安全资产折现率,1.5,%（剔除通胀后，保守）
安全提取率SWR,3.9,%（Morningstar 安全红线，可调 3.7/4.0）
合格红利股息率门槛溢价,1.5,%（在无风险利率之上；达标才计入红利现金流资产）
红利派息率上限,70,%（超过按普通风险资产；REITs/银行可单列放宽）
股息压力折算率-基准,25,%（危机情景股息削减假设，多元化优质红利）
股息压力折算率-行业集中,45,%（银行/地产/周期/REITs 单一行业>30%时）
红利现金流折现率,3.25,%（高于安全资产1.5%，用于综合覆盖率折现）
红利权益压力跌幅,22,%（压测，区别于成长/数字资产40-50%）
